district,mean_articles_per_month,median_articles_per_month,n_months_observed,total_articles
"Northeast Highlands Agriculture, Irumu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7708333333334,493.5,48,27493.0
"Orientale Fishing with Agriculture, Irumu, Ituri, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7708333333334,493.5,48,27493.0
"Mountain Agropastoral, Mwenga, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.75,495.0,48,27492.0
"Midland Agricultural Savannah, Mwenga, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.75,495.0,48,27492.0
"Kamalondo Depression, Manono, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.75,494.0,48,27492.0
"Savannah Surplus Maize, Manono, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.75,494.0,48,27492.0
"Bomongo and Makanza Districts Intensive Fishing, Bongandanga, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7291666666666,493.5,48,27491.0
"Equatorial Forest, Hunting, Fishing and Staple Crops, Lomela, Sankuru, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7291666666666,495.0,48,27491.0
"Orientale Fishing with Agriculture, Isangi, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7291666666666,495.0,48,27491.0
"Forest Cultivation and Products, Isangi, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7291666666666,495.0,48,27491.0
"Fishing and Staples Riverine, Lomela, Sankuru, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7291666666666,495.0,48,27491.0
"Mountain Agropastoral, Rutshuru, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7083333333334,495.5,48,27490.0
"Virunga Volcanic Soils Agriculture, Rutshuru, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7083333333334,495.5,48,27490.0
"Bomongo and Makanza Districts Intensive Fishing, Lisala, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.7083333333334,493.5,48,27490.0
"Bomongo and Makanza Districts Intensive Fishing, Bomongo, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6875,493.5,48,27489.0
"Bomongo and Makanza Districts Intensive Fishing, Makanza, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6875,493.5,48,27489.0
"Southern Tanganyika-Mwero Fishing, Kalemie, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6666666666666,494.5,48,27488.0
"Savannah Surplus Maize, Kalemie, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6666666666666,494.5,48,27488.0
"Agriculture with High Production and Marketing, Gungu, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6458333333334,493.5,48,27487.0
"Agropastoral – Staple Crops, Small Stock and Cattle and Wild Foods, Gungu, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6458333333334,493.5,48,27487.0
"Cassava, Maize and Groundnuts, Gungu, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6458333333334,493.5,48,27487.0
"Forest Cultivation and Products, Walikale, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.6458333333334,494.0,48,27487.0
"Bomongo and Makanza Districts Intensive Fishing, Bonganga, Mongala, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.625,493.5,48,27486.0
"Fishing and Staples Riverine, City of Bandundu, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5833333333334,493.5,48,27484.0
"Savannah Surplus Maize, Nyunzu, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5833333333334,494.0,48,27484.0
"Cassava, Maize and Groundnuts, City of Bandundu, Kwilu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5833333333334,493.5,48,27484.0
"Mountain Agropastoral, Oicha, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5416666666666,493.5,48,27482.0
"Southern Tanganyika-Mwero Fishing, Kasenga, Haut-Katanga, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5416666666666,494.5,48,27482.0
"Northern Tanganyika Midland Agriculture, Uvira, South Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5416666666666,494.0,48,27482.0
"Northeast Highlands Agriculture, Oicha, North Kivu, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5416666666666,493.5,48,27482.0
"Savannah Surplus Maize, Kongolo, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5416666666666,494.0,48,27482.0
"Savannah Surplus Maize, Kabalo, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.5,494.0,48,27480.0
"Cuvette Centrale Staple Crops, Fishing and Charcoal, Bikoro, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4791666666666,495.0,48,27479.0
"Forest Cultivation and Products, Banalia, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4791666666666,494.0,48,27479.0
"Artisanal Mining with Agriculture, Banalia, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4791666666666,494.0,48,27479.0
"Orientale Fishing with Agriculture, Banalia, Tshopo, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4791666666666,494.0,48,27479.0
"Fishing and Staples Riverine, Bikoro, Equateur, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4791666666666,495.0,48,27479.0
"Southern Tanganyika-Mwero Fishing, Pweto, Haut-Katanga, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4791666666666,494.0,48,27479.0
"Fishing and Staples Riverine, Bokungu, Tshuapa, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4583333333334,493.5,48,27478.0
"Southern Tanganyika-Mwero Fishing, Moba, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4583333333334,494.0,48,27478.0
"Savannah Surplus Maize, Moba, Tanganyika, Democratic Republic of the Congo, Congo, The Democratic Republic of the",572.4583333333334,494.0,48,27478.0
